what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1342403092130
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1342403092130
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1342403092130
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1342403092131
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1342403092131
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1342403092131
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1342403092132
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1342403092132
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1342403092133
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1342403092133
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1342403092134
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1342403092134
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1342403092135
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1342403092135
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1342403092136
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1342403092136
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1342403092137
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1342403092137
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1342403092138
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1342403092138
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1342403092139
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1342403092139
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1342403092139
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1342403092140
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1342403092140
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1342403092140
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1342403092140
os,sysinfo,,,"macosx",1342403092144
arch,sysinfo,,,"x86_64",1342403092144
ws,sysinfo,,,"cocoa",1342403092144
locale,sysinfo,,,"en_US",1342403092144
processors,sysinfo,,,"8",1342403092144
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1342403092144
java.runtime.version,sysinfo,,,"1.6.0_31-b04-415-11M3646",1342403092144
java.specification.name,sysinfo,,,"Java Platform API Specification",1342403092144
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342403092144
java.specification.version,sysinfo,,,"1.6",1342403092144
java.vendor,sysinfo,,,"Apple Inc.",1342403092144
java.version,sysinfo,,,"1.6.0_31",1342403092144
java.vm.info,sysinfo,,,"mixed mode",1342403092144
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1342403092144
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1342403092144
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342403092144
java.vm.specification.version,sysinfo,,,"1.0",1342403092144
java.vm.vendor,sysinfo,,,"Apple Inc.",1342403092144
java.vm.version,sysinfo,,,"20.6-b01-415",1342403092144
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1342403093192
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1342403093199
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1342403093315
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1342403093321
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1342403093390
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1342403093405
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1342403093532
